Time,Latitude,Longitude,NO2
2020-04-01 13:20:15.120573,-85.42752,51.28518,-1.2676506e+30
2020-04-01 13:20:15.120573,-85.13466,51.06598,-1.2676506e+30
2020-04-01 13:20:15.120573,-84.853775,50.89369,-1.2676506e+30
2020-04-01 13:20:15.120573,-84.58338,50.757877,-1.2676506e+30
2020-04-01 13:20:15.120573,-84.32214,50.650906,-1.2676506e+30
2020-04-01 13:20:15.120573,-84.06889,50.56705,-1.2676506e+30
2020-04-01 13:20:15.120573,-83.82257,50.501953,-1.2676506e+30
2020-04-01 13:20:15.120573,-83.58223,50.45223,-1.2676506e+30
2020-04-01 13:20:15.120573,-83.347,50.415245,-1.2676506e+30
2020-04-01 13:20:15.120573,-83.116104,50.388916,-1.2676506e+30
2020-04-01 13:20:15.120573,-82.888794,50.371605,-1.2676506e+30
2020-04-01 13:20:15.120573,-82.66438,50.362015,-1.2676506e+30
2020-04-01 13:20:15.120573,-82.442215,50.35913,-1.2676506e+30
2020-04-01 13:20:15.120573,-82.22166,50.362167,-1.2676506e+30
2020-04-01 13:20:15.120573,-82.002106,50.370525,-1.2676506e+30
2020-04-01 13:20:15.120573,-81.78297,50.383766,-1.2676506e+30
2020-04-01 13:20:15.120573,-81.56364,50.401577,-1.2676506e+30
2020-04-01 13:20:15.120573,-81.34354,50.423767,-1.2676506e+30
2020-04-01 13:20:15.120573,-81.122055,50.45024,-1.2676506e+30
2020-04-01 13:20:15.120573,-80.89857,50.480988,-1.2676506e+30
2020-04-01 13:20:15.120573,-80.672424,50.516064,-1.2676506e+30
2020-04-01 13:20:15.120573,-80.442955,50.555588,-1.2676506e+30
2020-04-01 13:20:15.120573,-80.209435,50.59973,-1.2676506e+30
2020-04-01 13:20:15.120573,-79.97108,50.64871,-1.2676506e+30
2020-04-01 13:20:15.120573,-79.727036,50.702774,-1.2676506e+30
2020-04-01 13:20:15.120573,-79.47639,50.762196,-1.2676506e+30
2020-04-01 13:20:15.120573,-79.2181,50.82728,-1.2676506e+30
2020-04-01 13:20:15.120573,-78.95103,50.898335,-1.2676506e+30
2020-04-01 13:20:15.120573,-78.67387,50.975677,-1.2676506e+30
2020-04-01 13:20:15.120573,-78.385124,51.059628,-1.2676506e+30
2020-04-01 13:20:15.120573,-78.08311,51.150494,-1.2676506e+30
2020-04-01 13:20:15.120573,-77.76582,51.248573,-1.2676506e+30
2020-04-01 13:20:15.120573,-77.43095,51.35414,-1.2676506e+30
2020-04-01 13:20:15.120573,-77.075714,51.46744,-1.2676506e+30
2020-04-01 13:20:15.120573,-76.6968,51.588684,-1.2676506e+30
2020-04-01 13:20:15.120573,-76.29016,51.718037,-1.2676506e+30
2020-04-01 13:20:15.120573,-75.850815,51.855618,-1.2676506e+30
2020-04-01 13:20:15.120573,-75.3725,52.0015,-1.2676506e+30
2020-04-01 13:20:15.120573,-74.84719,52.15569,-1.2676506e+30
2020-04-01 13:20:15.120573,-74.26443,52.31817,-1.2676506e+30
2020-04-01 13:20:15.120573,-73.61012,52.488884,-1.2676506e+30
2020-04-01 13:20:15.120573,-72.864716,52.667805,-1.2676506e+30
2020-04-01 13:20:15.120573,-71.999825,52.855022,-1.2676506e+30
2020-04-01 13:20:15.120573,-70.97188,53.050964,-1.2676506e+30
2020-04-01 13:20:15.120573,-69.70842,53.25688,-1.2676506e+30
2020-04-01 13:20:17.120954,-85.53342,-137.84834,-1.2676506e+30
2020-04-01 13:20:17.120954,-86.874596,-139.47278,-1.2676506e+30
2020-04-01 13:20:17.120954,-87.95114,-142.25443,-1.2676506e+30
2020-04-01 13:20:17.120954,-88.84118,-148.46185,-1.2676506e+30
2020-04-01 13:20:17.120954,-89.55237,-173.48714,-1.2676506e+30
2020-04-01 13:20:17.120954,-89.56412,86.044655,-1.2676506e+30
2020-04-01 13:20:17.120954,-89.02313,62.478107,-1.2676506e+30
2020-04-01 13:20:17.120954,-88.49574,56.526157,-1.2676506e+30
2020-04-01 13:20:17.120954,-88.00955,53.90398,-1.2676506e+30
2020-04-01 13:20:17.120954,-87.5615,52.448666,-1.2676506e+30
2020-04-01 13:20:17.120954,-87.14649,51.536606,-1.2676506e+30
2020-04-01 13:20:17.120954,-86.75985,50.922176,-1.2676506e+30
2020-04-01 13:20:17.120954,-86.397606,50.48899,-1.2676506e+30
2020-04-01 13:20:17.120954,-86.05643,50.174618,-1.2676506e+30
2020-04-01 13:20:17.120954,-85.7335,49.94246,-1.2676506e+30
2020-04-01 13:20:17.120954,-85.42643,49.769543,-1.2676506e+30
2020-04-01 13:20:17.120954,-85.133194,49.64068,-1.2676506e+30
2020-04-01 13:20:17.120954,-84.852036,49.545376,-1.2676506e+30
2020-04-01 13:20:17.120954,-84.58143,49.476143,-1.2676506e+30
2020-04-01 13:20:17.120954,-84.32003,49.427483,-1.2676506e+30
2020-04-01 13:20:17.120954,-84.06665,49.395256,-1.2676506e+30
2020-04-01 13:20:17.120954,-83.82024,49.37632,-1.2676506e+30
2020-04-01 13:20:17.120954,-83.579834,49.368225,-1.2676506e+30
2020-04-01 13:20:17.120954,-83.344574,49.36908,-1.2676506e+30
2020-04-01 13:20:17.120954,-83.113655,49.377384,-1.2676506e+30
2020-04-01 13:20:17.120954,-82.886345,49.39198,-1.2676506e+30
2020-04-01 13:20:17.120954,-82.66194,49.411957,-1.2676506e+30
2020-04-01 13:20:17.120954,-82.4398,49.436623,-1.2676506e+30
2020-04-01 13:20:17.120954,-82.21927,49.465458,-1.2676506e+30
2020-04-01 13:20:17.120954,-81.99976,49.498093,-1.2676506e+30
2020-04-01 13:20:17.120954,-81.78067,49.53427,-1.2676506e+30
2020-04-01 13:20:17.120954,-81.56141,49.57386,-1.2676506e+30
2020-04-01 13:20:17.120954,-81.34138,49.616802,-1.2676506e+30
2020-04-01 13:20:17.120954,-81.119965,49.663124,-1.2676506e+30
2020-04-01 13:20:17.120954,-80.89657,49.71293,-1.2676506e+30
2020-04-01 13:20:17.120954,-80.670525,49.76636,-1.2676506e+30
2020-04-01 13:20:17.120954,-80.441154,49.823635,-1.2676506e+30
2020-04-01 13:20:17.120954,-80.20774,49.885,-1.2676506e+30
2020-04-01 13:20:17.120954,-79.969505,49.95073,-1.2676506e+30
2020-04-01 13:20:17.120954,-79.7256,50.02115,-1.2676506e+30
2020-04-01 13:20:17.120954,-79.4751,50.096592,-1.2676506e+30
2020-04-01 13:20:17.120954,-79.216965,50.17741,-1.2676506e+30
2020-04-01 13:20:17.120954,-78.95006,50.263973,-1.2676506e+30
2020-04-01 13:20:17.120954,-78.67307,50.356647,-1.2676506e+30
2020-04-01 13:20:17.120954,-78.38453,50.4558,-1.2676506e+30
2020-04-01 13:20:17.120954,-78.08272,50.561794,-1.2676506e+30
2020-04-01 13:20:17.120954,-77.76566,50.674973,-1.2676506e+30
2020-04-01 13:20:17.120954,-77.43103,50.795666,-1.2676506e+30
2020-04-01 13:20:17.120954,-77.07605,50.924168,-1.2676506e+30
2020-04-01 13:20:17.120954,-76.69741,51.060753,-1.2676506e+30
2020-04-01 13:20:17.120954,-76.29108,51.205643,-1.2676506e+30
2020-04-01 13:20:17.120954,-75.852036,51.359028,-1.2676506e+30
2020-04-01 13:20:17.120954,-75.374054,51.52106,-1.2676506e+30
2020-04-01 13:20:17.120954,-74.8491,51.691845,-1.2676506e+30
2020-04-01 13:20:17.120954,-74.26671,51.871468,-1.2676506e+30
2020-04-01 13:20:17.120954,-73.6128,52.060013,-1.2676506e+30
2020-04-01 13:20:17.120954,-72.86781,52.257637,-1.2676506e+30
2020-04-01 13:20:17.120954,-72.00337,52.464672,-1.2676506e+30
2020-04-01 13:20:17.120954,-70.97591,52.681896,-1.2676506e+30
2020-04-01 13:20:17.120954,-69.712975,52.91112,-1.2676506e+30
2020-04-01 13:20:19.121320,-85.55008,-136.35648,-1.2676506e+30
2020-04-01 13:20:19.121320,-86.894005,-137.33344,-1.2676506e+30
2020-04-01 13:20:19.121320,-87.97515,-138.99138,-1.2676506e+30
2020-04-01 13:20:19.121320,-88.87531,-142.74637,-1.2676506e+30
2020-04-01 13:20:19.121320,-89.62619,-160.35541,-1.2676506e+30
2020-04-01 13:20:19.121320,-89.6198,71.130226,-1.2676506e+30
2020-04-01 13:20:19.121320,-89.03965,55.462154,-1.2676506e+30
2020-04-01 13:20:19.121320,-88.502426,51.95591,-1.2676506e+30
2020-04-01 13:20:19.121320,-88.011925,50.446285,-1.2676506e+30
2020-04-01 13:20:19.121320,-87.56149,49.623875,-1.2676506e+30
2020-04-01 13:20:19.121320,-87.145,49.1207,-1.2676506e+30
2020-04-01 13:20:19.121320,-86.75738,48.79289,-1.2676506e+30
2020-04-01 13:20:19.121320,-86.39445,48.572357,-1.2676506e+30
2020-04-01 13:20:19.121320,-86.05278,48.42252,-1.2676506e+30
2020-04-01 13:20:19.121320,-85.7295,48.32183,-1.2676506e+30
