Country,date,Alt_Mean_co2,lat,long,Alt_Mean_no2,Alt_Mean_ch4,Alt_Mean_o3
Namibia,2014-01-20,0.005132414990000001,-84.19999999999997,-373.53999999999996,1.3289464820000001e-08,5.362117600000001e-06,2.6904524299999997e-05
Namibia,2014-01-21,0.0043512933100000005,122.34999999999997,153.39000000000016,9.913785804e-09,4.2724849700000005e-06,2.280207e-05
Namibia,2014-01-22,0.00465132386,-56.84999999999997,240.18999999999997,1.160441498e-08,4.550085410000001e-06,2.32784381e-05
Namibia,2014-01-23,0.00325749414,14.699999999999996,-391.94999999999993,7.781178505e-09,3.31748511e-06,1.6581476199999998e-05
Namibia,2014-01-24,0.0049311758000000015,40.780000000000015,26.040000000000003,1.1736860689999998e-08,4.70253013e-06,2.5118888199999998e-05
Namibia,2014-01-25,0.004110115540000001,109.70999999999995,-82.14999999999998,9.306522540000001e-09,3.86681372e-06,2.15171187e-05
Namibia,2014-01-26,0.0046336350200000005,9.720000000000084,144.38000000000005,1.1366912260000003e-08,4.55063452e-06,2.3802057e-05
Namibia,2014-01-27,0.0024536190299999996,470.73999999999995,-46.23999999999999,2.9101394440000002e-09,1.9910372e-06,1.25605172e-05
Nauru,2014-01-27,0.00137037763,-277.14,-274.20000000000005,5.4271194e-09,1.54029288e-06,7.308824e-06
Nauru,2014-01-28,0.0040862712800000004,38.26,-6.089999999999975,1.0103446609999998e-08,4.08351149e-06,2.16697678e-05
Nauru,2014-01-29,0.00391116818,106.76999999999995,244.55999999999992,9.3104658e-09,3.7899404600000006e-06,2.04724062e-05
Nauru,2014-01-30,0.0041774909100000005,75.82,72.54000000000002,1.0385306459999999e-08,3.97400101e-06,2.2237222199999998e-05
Nauru,2014-01-31,0.00246569247,34.55999999999998,41.079999999999956,6.448830709999999e-09,2.6284048800000004e-06,1.39008972e-05
Nepal,2014-01-31,0.00086318514,88.42000000000002,-37.7,1.4332237700000002e-09,7.450693500000001e-07,4.032432000000001e-06
Netherlands,2014-02-01,0.00081600761,-18.950000000000003,-137.67,2.4220161e-09,7.5905049e-07,4.5948469e-06
Nepal,2014-02-01,0.00359340909,208.98000000000002,243.84999999999997,8.073304440000001e-09,3.8077694199999994e-06,1.9256108700000003e-05
Netherlands,2014-02-02,0.00567483791,375.12,191.9599999999999,1.211323172e-08,5.59999911e-06,2.9586212700000006e-05
Netherlands,2014-02-03,0.0038880073,208.70000000000002,5.040000000000049,9.065925309999997e-09,4.193195399999999e-06,2.17948213e-05
Netherlands,2014-02-04,0.00446422336,269.73,-435.87999999999994,1.008693598e-08,5.05264587e-06,2.49145552e-05
New Caledonia,2014-02-05,0.00191380101,378.25,311.9,2.89778878e-09,2.1162887200000006e-06,1.1271195499999999e-05
Netherlands,2014-02-05,0.0018788946900000002,-17.499999999999986,-351.84000000000003,5.6600578399999995e-09,2.23777015e-06,1.1353509199999998e-05
New Caledonia,2014-02-06,0.00623471565,340.03,-140.49,1.5458714320000003e-08,7.202988640000001e-06,3.67649358e-05
New Caledonia,2014-02-07,0.00570156142,528.04,59.24999999999996,1.284335245e-08,6.8370005900000014e-06,3.3521425700000004e-05
New Caledonia,2014-02-08,0.006525059150000001,611.7900000000001,-365.4700000000001,1.555015957e-08,7.108110880000002e-06,3.9618517500000005e-05
